,Material,Durchmesser,u_Durchmesser,[Durchmesser],Material_Boden,Bodendicke,u_Bodendicke,[Bodendicke],Abstand,u_Abstand,[Abstand],Frequenz,u_Frequenz,[Frequenz],Bemerkungen,signal,peak_pos,peak_height,peak_fwfm_height,peak_fwfm_left_pos,peak_fwfm_right_pos,peak_fwfm_width
1624,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,8058.235499102147,13.778000098234743,10.831925337635704,8030.748503105301,8069.436709015064,38.68820590976247
1625,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,8142.609396306637,27.24894000042674,13.735777752809279,8129.022919030114,8157.254311221836,28.23139219172208
1626,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,8191.917044516931,12.9104949778113,11.090844408059311,8181.899458022266,8203.872264669695,21.972806647429024
1627,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,8262.352623576027,9.293397793476842,7.046515425849742,8253.455616474843,8274.187770068444,20.732153593600742
1628,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,8338.686307860302,6.362886563053931,5.3555145190602085,8319.61705582158,8350.341614713116,30.724558891535708
1629,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,8452.006610513152,5.43024727278896,5.111387191237879,8441.118792103303,8460.85719866917,19.73840656586617
1630,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,8500.112801766618,5.435683429159346,4.900258728595771,8480.380708144452,8517.989599717013,37.60889157256133
1631,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,8577.091798176893,5.808536807569948,5.229887393764278,8564.427924080028,8595.130492562941,30.702568482913193
1632,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,8634.710050308826,6.4126167750514425,5.135011266269769,8618.312531980091,8658.065469579224,39.752937599132565
1633,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,8822.652845808607,12.892517679556097,8.925082102449224,8777.786101913578,8837.058582716776,59.27248080319805
